Produto,Valor de venda,Grupo,Estoque atualizado,Código de barras,Código de barras (repetido),Valor de custo,Validade,Observações
Detox Hep Fase II,690,HT,02,4135,4135,"41,35",07/26,
Detox Hep Fase I,690,HT,06,5285,5285,"52,85",03/26,
Sono gest react,690,HT,08,7445,7445,"74,45",03/26,
Ác. lipóico (Antiox Adulto),480,HT,34,4730,4730,"47,30",07/26,
Fad. F IM Anti stress II IM,480,HT,16,4745,4745,"47,45",06/26,
Oti. da Neuroplaticidade def. cog. c/ tudca,718,HT,13,12580,12580,125.8,03/26,
Oti. da Neuroplaticidade def. cog. c/ pitacetan,718,HT,19,1714,1714,17.14,03/26,
Osteoartrose I IM,280,HT,07,3415,3415,34.15,01/26,
Osteoartrose II IM,280,HT,08,4935,4935,49.35,01/26,
Osteoartrose  Condoitina IM,200,HT,09,3471,3471,34.71,11/25,
ADEK IM,200,HT,59,3650,3650,36.5,07/26,
Vit D 600 IM,120,HT,61,2465,2465,24.65,01/26,
Recover Musc. EV,690,HT,38,2200,2200,22,08/26,
Recover  Hidrossolúvel,690,HT,40,1785,1785,1785,08/26,
Recover Neuromal,690,HT,16,2201,2201,22.01,05/26,
Recover Oligoelemento,690,HT,42,1780,1780,17.8,08/26,
CO Q. 10,200,HT,20,2900,2900,29,08/26,
Ema. Ac. metaboloco I,480,HT,10,7290,7290,72.9,05/26,
Ema. Ac. metaboloco II,480,HT,08,7291,7291,72.91,05/26,
,,,,,,,,
Auxílio p/ lipedema IM,180,HT,06,7990,7990,79.9,05/26,
Vit B12,100,HT,22,2551,2551,25.51,05/26,
Osteoartrose / Harpagophytum IM,200,HT,08,3890,3890,38.9,03/26,
Osteoartrose /  Artrite ev ,200,HT,10,2605,2605,26.05,08/26,
Detox hepático fase I,480,HT,02,3645,3645,36.45,07/26,
Detox hepático fase II,480,HT,02,4135,4135,41.35,05/26,
Déficit cogn / Neuroativo,480,HT,11,8195,8195,81.95,01/26,
Déficit cogn / Pool cogn,480,HT,06,7025,7025,70.25,05/26,
Esteoartrose Hepatica IM,480,HT,03,6110,6110,61.1,07/26,
Fadiga F/M C/penibu stress I,480,HT,14,4746,4746,47.46,05/26,
Alt. Libido c/fenilanina,480,HT,12,7275,7275,72.75,06/26,
Alt. Libido c/ Nalt IM,480,HT,12,8045,8045,80.48,05/26,
Aumento massa IM,180,HT,05,0001,0001,,Nov-26,Produto retido
,,,,,,,,
Saúde cap IV/IM ex nutrientes,380,,10,4825,4825,48.25,11/25,
Saúde cap IV/IM c/ silício,380,,10,4435,4435,44.35,11/25,
Alopecia c/ Red Hair,350,,04,8030,8030,80.3,12/25,Obs: lote vence em dezembro
Alopecia areata c/ pill food ID,200,,04,,,,06/26,
Alopecia areata c/ triamcinolona ID,200,,04,9880,9880,98.8,12/25,
Alopecia areata difusa c/ pill food,200,,04,8030,8030,80.3,09/26,
MAP ,480,,10,2070,2070,20.7,08/26,
Vit D 100.000,100,,01,0002,0002,,11/25,
Anti stress IM melatonina (retido),100,,01,0003,0003,,08/25,Produto retido
Morosil 50,300,,08,2500,2500,25,08/25,48 amp
